caption,IP,MAC,tstamp
[00000001] Realtek PCIe GbE Family Controller,"('172.16.7.207', 'fe80::8dd3:889f:3f71:7c6e')",88:AE:DD:43:20:F2,1727338431.88
[00000010] VirtualBox Host-Only Ethernet Adapter,"('192.168.56.1',)",0A:00:27:00:00:0C,1727338431.88
